content,是否有需求（1：有需求，0：无或未知）,有需求是否已购（1：已购，0：未购或未知）,已购是否有复购需求（1：有需求或觉得现有产品有缺点或已购时间超过5年，0：无或未知）
助听器机构、折扣资源都可④,0,0,0
我是天生的，现在带的是一万元的,1,1,0
是[doge][流汗R]，我那个助力器还2万[流汗R][流汗R],1,1,0
我的是天生，我父母给我买了几亿万块的助听器，是澳大利亚的牌子,1,1,0
我是发烧的，两个六万多，戴的非常好,1,1,0
越贵越小[doge],0,0,0
我听力还行，可是我视力非常不好，高度近视，高度散光，感觉是一个半盲人了，万一我瞎了还怎么看东西，医生说我的眼睛做不了手术，这个高度散光是不可逆的，做手术也拯救不了[哭惹R][哭惹R][哭惹R],0,0,0
我也有，是不是以后都要一直带了吗？[哭惹R][哭惹R][哭惹R],1,1,0
我不用助听器，我可以看懂对方人说，但是看嘴唇会懂，我买不起[哭惹R],1,0,0
我的是5万元的，两只耳朵共五万,1,1,0
你们戴的峰力助听器可以戴几年,1,0,0
内蒙古呼和浩特有店吗？,1,0,0
老人不肯带 很排斥   有隐形的 外观看不太明显的么 预算双耳两万元左右,1,0,0
我的打折后7。8000不喜欢带我是中耳炎引起的。好多年了有时候感冒的话还化浓,1,1,1
我想问下，这个可以当隐形眼镜使用，有需要就佩戴没需要就不带吗？日常交流没有问题那种,1,0,0
戴的唯听220，二w6,1,1,0
奥迪康T700的怎么样？有人戴过吗？,1,0,0
是，我这个七万多[捂脸R],1,1,0
北京有店么，如果有给个地址,1,0,0
戴着会头疼么，准备给爸爸买一个，听不见沟通真的很难,1,0,0
我带健耳的，两只3万多,1,1,0
天津有门店吗,1,0,0
是网上买 还是线下买呢  是去医院还是机构,1,0,0
广州有店吗？锋力,1,0,0
我耳蜗十万。,1,1,0
越亏待的越舒服,0,0,0
我奶奶耳朵听不清，能推荐几百的质量好的吗？,1,0,0
老年人可以用吗？,1,0,0
好像越贵越隐形，音质越好,0,0,0
我父母跟我说我佩戴的助听器要上万，但为什么我总感觉助听器听的效果还是不太好啊[叹气R][叹气R][叹气R]跟别人说话还是听不清对方在说什么，总感觉声音是被打上了马赛克，模模糊糊的。,1,1,1
助听器越贵越小,0,0,0
@七十二時.,0,0,0
？,0,0,0
我感觉越便宜的越重，越贵的越轻便,0,0,0
阿巴巴,0,0,0
我带的一个7500一个一万二，是丹麦的,1,1,0
我爸爸天生的耳背 能听到但不多 因为一直没有这个条件带助听器我给他买过一个一百块的因为我暂时也在上学没什么钱 但是发现他带了几天之后就再也没有带过了 不知道是不是带与不带没有区别 没和我说过,1,1,1
以前不了解，还以为助听器这个东西所有都是20万左右[扶墙R],0,0,0
WC,0,0,0
[可怜R],0,0,0
我弟弟带的是人工耳蜗[doge],1,1,0
买回来了，孩子很爱吃,0,,
我天生听力不太好所以我带的是防水助听器 [害羞R],1,1,0
怎么感觉越贵越小？,0,,
越来越小 越来越小,0,,
问一下，我爷爷的助听器为什么总是会发出刺耳的声音[害羞R],1,1,1
不，因为越贵你耳朵就越严重,0,,
我觉得千元和百元更好,0,,
我两个1万，肉色的，很小[doge],1,1,0
你好，一对西门子助听器一万多贵吗,1,0,
越贵越好看就是了[扯脸H],0,,
呃，应该吧,0,,
再贵的好的，也就是扩音的大喇叭！,0,,
我奶奶带的是那个几万的,1,1,0
有个朋友就带着那种人工耳蜗，十多万,0,,
所以越贵越小[doge],0,,
乛,0,,
万元？,0,,
所以说万元机那么小,0,,
为什么我感觉像画？[笑哭R][笑哭R],0,,
隐藏那个一般价格是多少,1,0,
前两年给我买了个两万的，丢了[扯脸H][耶R],1,0,
万元都快没了[doge],0,,
不是助听器越贵越好 ，而是越想越不容易被别人发现,0,,
一分价钱一分货吧，我觉得,0,,
太贵了[哭惹R]负担不起啊，,0,,
[哭惹R],0,,
不知道[doge]我身边的人包括我都没有带过助听器 [doge],0,,
乙,0,,
越贵就越小[doge][doge],0,,
你好，加微信,0,,
我妹妹带万元的,1,1,0
越贵是不是越好我不知道，越贵越小倒从图片上看到了[doge],0,,
我是天生的 带的是两万元的 [doge][流汗R],1,1,0
毕竟是带耳朵里的，小一点肯定更好[doge][doge]（我也不太清楚，别喷我）,0,,
不一定哟[飞吻R],0,,
越便宜的越不好使，越贵的越好使,0,,
那好又不是鬼,0,,
我表妹做的是骨桥植入的 助听器18万[微笑R],1,1,0
我带的是千元,1,1,0
我爷爷用的第一个,1,1,0
我爷爷带的一万元的。[doge][流汗R][流汗R],1,1,0
嘿嘿,0,,
我带的是助听器也是天生。,0,1,0
我带的3万。,1,1,0
也不是，我给我儿子第一次配的一对一万六，第二次一个两万六，另一侧耳蜗，到现在十几年了，那个两万多没戴多久，他说以前的那个听得更好 就一直戴着便宜的那个,1,1,0
不是这样吧,0,,
我爸刚配的和第一款一样3500元，贵了吗,1,1,0
我表弟带的是万元的[捂脸R],1,1,0
我的是中重度，左耳听不到，还一直有声音干扰,1,0,
买的是一万的，为啥我的是千元的样,1,1,0
康之声怎么样,1,0,
千元,0,,
高中长期带耳机，感觉现在小声音听不清楚，不知道还有没有救了[哭惹R],1,0,
不知道,0,,
斯达克怎么样？小孩中度耳鸣，两年前配了2万多，但是孩子戴着也感觉噪音有点大，是不是别忽悠了,1,1,1
助听器几乎都是一个样子的，不过呢，千元的还可以，我爷爷带的就是千元的那种，不过呢，还是有一些是小瑕疵，感觉吱呀吱呀的响,1,1,1
中度听力40到50分贝适合什么样助听器价格不太虚高的,1,0,
奥德声智悦6 MOOD G6/RIC多少钱,1,0,
请问峰力云图神采怎么样，高频损伤,1,0,
